run2

n=0:	[   1  2  3  4  5  6  7  8  9     1  2  3  4  5  6  7  8  9     1  2  3  4  5  6  7]
n=1:	[                                                                                  ]
n=2:	[                                                                                  ]
n=3:	[                                                                                  ]
n=4:	[                                                                                  ]
n=5:	[   2  2                                                                           ]
n=6:	[   2  2  2                                                                        ]
n=7:	[   3  2  2  2                                                                     ]
n=8:	[   3  2  2  2                                                                     ]
n=9:	[   3  2  2  2  2                                                                  ]
n=10:	[   3  3  2  2  2  2  1                                                            ]
n=11:	[   3  3  3  2  2  2  2  1                                                         ]
n=12:	[   3  3  2  3  2  2  2  2                                                         ]
n=13:	[   3  3  3  2  2  2  2  2  2                                                      ]
n=14:	[   3  3  3  2  2  2  2  2  2  2                                                   ]
n=15:	[   4  3  3  3  3  2  2  2  2  2  2                                                ]
n=16:	[   4  3  3  3  3  2  2  2  2  2  2  2                                             ]
n=17:	[   4  3  3  3  3  3  2  2  2  2  2  2  2                                          ]
n=18:	[   4  4  3  3  3  3  2  2  2  2  2  2  2  2                                       ]
n=19:	[   4  4  4  3  3  3  2  2  2  2  2  2  2  2  2                                    ]
n=20:	[   4  4  3  3  3  3  3  2  2  2  2  2  2  2  2  1                                 ]
n=21:	[   4  4  4  3  3  3  3  3  2  2  2  2  2  2  2  2  1                              ]
n=22:	[   4  4  4  3  3  3  3  3  2  2  2  2  2  2  2  2  2  1                           ]
n=23:	[   4  4  4  4  3  3  3  3  3  2  2  2  2  2  2  2  2  2  1                        ]
n=24:	[   5  4  4  4  3  3  3  3  3  3  2  2  2  2  2  2  2  2  2  1                     ]
n=25:	[   5  4  4  4  3  3  3  3  3  3  2  3  2  2  2  2  2  2  2  2  1                  ]
n=26:	[   5  4  4  4  4  3  3  3  3  3  3  2  2  2  2  2  2  2  2  2  2  1               ]
n=27:	[   5  5  4  4  4  4  3  3  3  3  3  3  3  2  2  2  2  2  2  2  2  2  1            ]
n=28:	[   5  5  4  4  4  4  3  4  3  3  3  3  3  2  2  2  2  2  2  2  2  2  1  1         ]
n=29:	[   5  5  4  4  4  4  4  3  3  3  3  3  3  3  2  2  2  2  2  2  2  2  2  1  1      ]
n=30:	[   5  5  5  4  4  4  4  4  3  4  3  3  3  3  2  2  2  2  2  2  2  2  2  2  1  1   ]


run1 as of Dec 15,
this distance is probably okay, but the code matrices are not saved
n=1:	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=2:	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=3:	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=4:	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=5:	[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=6:	[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=7:	[0, 3, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=8:	[0, 3, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=9:	[0, 3, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=10:	[0, 3, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=11:	[0, 3, 3, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=12:	[0, 3, 3, 3, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=13:	[0, 3, 3, 3, 2, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=14:	[0, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=15:	[0, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=16:	[0, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=17:	[0, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=18:	[0, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=19:	[0, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]
n=20:	[0, 4, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]
n=21:	[0, 4, 4, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]
n=22:	[0, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]
n=23:	[0, 5, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0]
n=24:	[0, 5, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0]
n=25:	[0, 5, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0]
n=26:	[0, 5, 5, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0]
n=27:	[0, 5, 5, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 0]
n=28:	[0, 5, 5, 5, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]
n=29:	[0, 5, 5, 5, 5, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 0, 0, 0, 0, 0]
n=30:	[0, 6, 5, 5, 5, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 0, 0, 0, 0]
